record_id,device_id,session_id,step_in_session,timestamp,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,vibration_rms_g,temperature_c,fault_level,fault_name,severity_score
1,DC_Mini_Motor_01,1,0,2026-05-01 09:00:00,0.0252,-0.0315,0.9441,0.759,-0.227,-0.289,0.0699,25.85,5,NORMAL,0
2,DC_Mini_Motor_01,1,1,2026-05-01 09:00:15,0.0124,0.0447,1.0311,-0.489,0.545,-0.655,0.0489,28.04,5,NORMAL,0
3,DC_Mini_Motor_01,1,2,2026-05-01 09:00:30,0.0284,0.0511,0.9598,1.168,0.576,-0.311,0.0516,28.24,5,NORMAL,0
4,DC_Mini_Motor_01,1,3,2026-05-01 09:00:45,-0.013,0.0226,1.0343,-0.159,-0.174,-0.61,0.046,28.72,5,NORMAL,0
5,DC_Mini_Motor_01,1,4,2026-05-01 09:01:00,-0.0124,-0.0017,1.0103,1.691,0.236,-0.594,0.035,28.17,5,NORMAL,0
6,DC_Mini_Motor_01,1,5,2026-05-01 09:01:15,0.0189,-0.0515,0.9467,-0.282,0.253,-0.117,0.0853,29.75,5,NORMAL,0
7,DC_Mini_Motor_01,1,6,2026-05-01 09:01:30,0.0437,-0.0178,1.0044,0.146,1.604,0.537,0.054,30.21,5,NORMAL,0
8,DC_Mini_Motor_01,1,7,2026-05-01 09:01:45,0.0023,0.0222,1.0794,-0.425,-0.081,-0.037,0.0653,31.51,5,NORMAL,0
9,DC_Mini_Motor_01,1,8,2026-05-01 09:02:00,0.0227,-0.0268,1.0454,-0.589,-0.406,1.462,0.0678,31.06,5,NORMAL,0
10,DC_Mini_Motor_01,1,9,2026-05-01 09:02:15,-0.0208,-0.0108,0.9324,-1.222,0.88,-0.18,0.0636,31.37,5,NORMAL,0
11,DC_Mini_Motor_01,1,10,2026-05-01 09:02:30,-0.0123,0.0478,0.9524,1.751,-0.251,0.065,0.0759,31.13,5,NORMAL,0
12,DC_Mini_Motor_01,1,11,2026-05-01 09:02:45,-0.0037,0.0788,0.9488,0.132,0.645,0.879,0.087,32.2,5,NORMAL,0
13,DC_Mini_Motor_01,1,12,2026-05-01 09:03:00,-0.0459,0.003,0.9911,-0.219,1.286,2.21,0.0528,32.44,5,NORMAL,0
14,DC_Mini_Motor_01,1,13,2026-05-01 09:03:15,0.0107,-0.0059,1.0935,0.896,-1.223,0.883,0.0991,32.95,5,NORMAL,0
15,DC_Mini_Motor_01,1,14,2026-05-01 09:03:30,0.0001,0.0203,0.9278,-0.106,-1.414,0.449,0.0713,33.17,5,NORMAL,0
16,DC_Mini_Motor_01,1,15,2026-05-01 09:03:45,-0.0454,-0.0129,0.9432,0.395,-1.0,1.003,0.0727,33.12,5,NORMAL,0
17,DC_Mini_Motor_01,1,16,2026-05-01 09:04:00,0.0602,-0.0566,0.9696,0.294,-1.709,2.164,0.0746,33.91,5,NORMAL,0
18,DC_Mini_Motor_01,1,17,2026-05-01 09:04:15,0.0406,-0.0596,0.9784,-0.185,1.001,3.327,0.0889,35.15,4,WATCH,1
19,DC_Mini_Motor_01,1,18,2026-05-01 09:04:30,-0.0268,-0.0638,0.9131,0.81,0.778,0.315,0.1133,34.79,5,NORMAL,0
20,DC_Mini_Motor_01,1,19,2026-05-01 09:04:45,-0.0021,-0.0566,1.0754,-2.332,0.83,-0.951,0.0973,35.82,4,WATCH,1
21,DC_Mini_Motor_01,1,20,2026-05-01 09:05:00,0.0473,0.0039,0.9043,-2.598,-1.352,1.993,0.1126,35.56,4,WATCH,1
22,DC_Mini_Motor_01,1,21,2026-05-01 09:05:15,-0.0042,0.0196,0.914,-1.276,3.183,3.339,0.0865,35.62,4,WATCH,1
23,DC_Mini_Motor_01,1,22,2026-05-01 09:05:30,-0.0057,-0.0059,0.8725,0.805,-0.54,-2.029,0.1227,36.37,4,WATCH,1
24,DC_Mini_Motor_01,1,23,2026-05-01 09:05:45,0.0383,-0.1004,0.9721,-2.143,0.96,0.74,0.1051,36.58,4,WATCH,1
25,DC_Mini_Motor_01,1,24,2026-05-01 09:06:00,-0.0174,0.0351,0.8927,-0.733,-1.087,2.691,0.1135,36.6,4,WATCH,1
26,DC_Mini_Motor_01,1,25,2026-05-01 09:06:15,-0.044,-0.0262,0.8686,-0.067,0.318,0.748,0.1406,36.84,4,WATCH,1
27,DC_Mini_Motor_01,1,26,2026-05-01 09:06:30,0.0453,-0.1367,0.9908,1.769,2.293,0.738,0.1376,38.05,4,WATCH,1
28,DC_Mini_Motor_01,1,27,2026-05-01 09:06:45,-0.0659,-0.0865,1.0646,1.279,-2.184,-1.099,0.1423,37.87,4,WATCH,1
29,DC_Mini_Motor_01,1,28,2026-05-01 09:07:00,-0.0824,-0.0822,1.0709,0.635,0.078,-2.258,0.138,37.89,4,WATCH,1
30,DC_Mini_Motor_01,1,29,2026-05-01 09:07:15,0.0687,-0.1307,0.9533,-0.386,-0.627,-0.252,0.1431,37.87,4,WATCH,1
31,DC_Mini_Motor_01,1,30,2026-05-01 09:07:30,-0.0592,-0.0018,0.8439,1.805,0.859,2.312,0.1591,39.65,4,WATCH,1
32,DC_Mini_Motor_01,1,31,2026-05-01 09:07:45,-0.0,-0.1316,1.0603,1.994,0.552,-2.089,0.1481,38.67,4,WATCH,1
33,DC_Mini_Motor_01,1,32,2026-05-01 09:08:00,-0.022,-0.0253,1.1482,-0.174,-1.7,2.638,0.1633,38.73,4,WATCH,1
34,DC_Mini_Motor_01,1,33,2026-05-01 09:08:15,0.0289,0.129,0.9417,2.559,1.452,-1.526,0.1467,39.69,4,WATCH,1
35,DC_Mini_Motor_01,1,34,2026-05-01 09:08:30,0.0541,0.1221,1.0783,0.959,-1.848,2.566,0.1625,40.06,4,WATCH,1
36,DC_Mini_Motor_01,1,35,2026-05-01 09:08:45,-0.1325,-0.003,0.9041,-1.983,2.887,1.698,0.1766,40.87,4,WATCH,1
37,DC_Mini_Motor_01,1,36,2026-05-01 09:09:00,-0.0618,-0.0563,1.1514,2.684,-3.229,1.389,0.1747,41.35,4,WATCH,1
38,DC_Mini_Motor_01,1,37,2026-05-01 09:09:15,0.1666,0.0638,1.0647,2.932,2.744,2.175,0.1893,40.69,4,WATCH,1
39,DC_Mini_Motor_01,1,38,2026-05-01 09:09:30,0.1425,0.1304,0.9284,-1.581,0.784,2.366,0.1981,41.7,4,WATCH,1
40,DC_Mini_Motor_01,1,39,2026-05-01 09:09:45,-0.0752,-0.1253,0.8484,-1.803,-1.716,-3.309,0.1992,40.91,4,WATCH,1
41,DC_Mini_Motor_01,1,40,2026-05-01 09:10:00,-0.0469,0.0122,0.8137,0.814,2.88,0.612,0.1977,41.89,4,WATCH,1
42,DC_Mini_Motor_01,1,41,2026-05-01 09:10:15,-0.1022,0.047,0.8034,-1.25,1.105,1.501,0.2296,41.9,4,WATCH,1
43,DC_Mini_Motor_01,1,42,2026-05-01 09:10:30,0.1179,0.0497,0.8247,3.264,1.926,-2.1,0.2045,42.39,4,WATCH,1
44,DC_Mini_Motor_01,1,43,2026-05-01 09:10:45,-0.0539,0.1231,0.8297,1.491,-1.94,-3.629,0.2222,43.27,4,WATCH,1
45,DC_Mini_Motor_01,1,44,2026-05-01 09:11:00,0.0535,0.0105,1.2257,1.546,-1.417,-2.326,0.2361,43.27,4,WATCH,1
46,DC_Mini_Motor_01,1,45,2026-05-01 09:11:15,-0.1934,-0.1547,1.0139,4.691,-0.586,-0.717,0.2373,43.92,4,WATCH,1
47,DC_Mini_Motor_01,1,46,2026-05-01 09:11:30,-0.081,-0.0949,1.2053,0.388,-5.692,0.21,0.2426,44.53,4,WATCH,1
48,DC_Mini_Motor_01,1,47,2026-05-01 09:11:45,0.1176,0.1229,0.8236,1.855,3.181,2.982,0.2411,44.11,4,WATCH,1
49,DC_Mini_Motor_01,1,48,2026-05-01 09:12:00,-0.1111,0.228,0.9503,-2.404,0.796,-0.985,0.2544,44.53,4,WATCH,1
50,DC_Mini_Motor_01,1,49,2026-05-01 09:12:15,0.2128,0.0429,0.9096,5.735,1.343,1.649,0.2364,44.63,4,WATCH,1
51,DC_Mini_Motor_01,1,50,2026-05-01 09:12:30,0.0074,-0.092,0.7776,2.034,2.388,1.028,0.2489,45.6,4,WATCH,1
52,DC_Mini_Motor_01,1,51,2026-05-01 09:12:45,0.0892,0.0914,0.7411,-1.837,-1.041,2.962,0.276,44.96,4,WATCH,1
53,DC_Mini_Motor_01,1,52,2026-05-01 09:13:00,-0.2077,-0.1634,0.9059,-0.39,2.11,2.518,0.2842,45.97,4,WATCH,1
54,DC_Mini_Motor_01,1,53,2026-05-01 09:13:15,-0.1856,0.0047,1.2172,1.156,0.237,-4.49,0.2715,46.45,4,WATCH,1
55,DC_Mini_Motor_01,1,54,2026-05-01 09:13:30,-0.008,0.037,0.7212,0.273,-0.405,0.107,0.2856,46.49,4,WATCH,1
56,DC_Mini_Motor_01,1,55,2026-05-01 09:13:45,0.0787,0.272,0.986,-1.325,0.221,0.893,0.2888,47.37,4,WATCH,1
57,DC_Mini_Motor_01,1,56,2026-05-01 09:14:00,0.0493,0.0126,0.719,0.506,-1.275,0.995,0.2872,47.76,4,WATCH,1
58,DC_Mini_Motor_01,1,57,2026-05-01 09:14:15,0.014,0.0758,0.7117,4.81,1.353,-1.292,0.2912,48.31,4,WATCH,1
59,DC_Mini_Motor_01,1,58,2026-05-01 09:14:30,0.0341,0.1641,1.2919,3.759,-4.237,3.153,0.3282,48.61,4,WATCH,1
60,DC_Mini_Motor_01,1,59,2026-05-01 09:14:45,-0.014,-0.0213,0.6573,4.052,-0.421,2.729,0.3476,49.66,4,WATCH,1
61,DC_Mini_Motor_01,1,60,2026-05-01 09:15:00,-0.0176,-0.1119,1.3192,-1.069,0.352,-1.358,0.3433,48.74,4,WATCH,1
62,DC_Mini_Motor_01,1,61,2026-05-01 09:15:15,-0.2432,-0.1373,0.8011,-1.386,0.907,-1.86,0.3533,50.54,4,WATCH,1
